track_id,sample,init_time,lead_time_hours,lat,lon,minimum_sea_level_pressure_hpa,maximum_sustained_wind_speed_knots
AL04,13,2026-08-28 18:00:00,0,15.4,-48.6,1010.0,32.0
EP11,13,2026-08-28 18:00:00,0,13.6,-114.8,1000.0,58.0
EP11,13,2026-08-28 18:00:00,0,13.6,-114.8,1000.0,58.0
EP12,13,2026-08-28 18:00:00,0,12.1,-133.5,1007.0,31.0
WP20,13,2026-08-28 18:00:00,0,20.3,166.8,1001.0,64.0
WP20,13,2026-08-28 18:00:00,0,20.3,166.8,1001.0,64.0
WP20,13,2026-08-28 18:00:00,0,20.3,166.8,1001.0,64.0
WP21,13,2026-08-28 18:00:00,0,26.5,165.9,1000.0,62.0
WP21,13,2026-08-28 18:00:00,0,26.5,165.9,1000.0,62.0
AL04,13,2026-08-28 18:00:00,6,15.9,-50.9,1011.0,28.0
EP11,13,2026-08-28 18:00:00,6,14.3,-115.5,990.0,41.0
EP12,13,2026-08-28 18:00:00,6,12.1,-134.0,1004.0,25.0
WP20,13,2026-08-28 18:00:00,6,21.1,166.6,996.0,36.0
WP21,13,2026-08-28 18:00:00,6,27.0,165.6,998.0,33.0
AL04,13,2026-08-28 18:00:00,12,16.2,-53.3,1010.0,29.0
EP11,13,2026-08-28 18:00:00,12,15.0,-116.5,991.0,40.0
EP12,13,2026-08-28 18:00:00,12,12.1,-134.7,1005.0,22.0
WP20,13,2026-08-28 18:00:00,12,22.2,167.4,998.0,33.0
WP21,13,2026-08-28 18:00:00,12,27.9,165.6,998.0,30.0
AL04,13,2026-08-28 18:00:00,18,16.5,-55.7,1012.0,28.0
EP11,13,2026-08-28 18:00:00,18,15.6,-117.4,989.0,37.0
EP12,13,2026-08-28 18:00:00,18,12.2,-135.4,1005.0,22.0
WP20,13,2026-08-28 18:00:00,18,23.8,168.1,1001.0,31.0
WP21,13,2026-08-28 18:00:00,18,29.2,165.4,1000.0,30.0
AL04,13,2026-08-28 18:00:00,24,17.1,-57.9,1012.0,27.0
EP11,13,2026-08-28 18:00:00,24,16.0,-118.3,992.0,37.0
EP12,13,2026-08-28 18:00:00,24,12.2,-136.2,1007.0,21.0
WP20,13,2026-08-28 18:00:00,24,25.8,168.8,1000.0,32.0
WP21,13,2026-08-28 18:00:00,24,30.3,165.2,1000.0,27.0
AL04,13,2026-08-28 18:00:00,30,17.4,-60.0,1013.0,26.0
EP11,13,2026-08-28 18:00:00,30,16.4,-119.2,990.0,35.0
EP12,13,2026-08-28 18:00:00,30,12.2,-136.8,1005.0,20.0
WP20,13,2026-08-28 18:00:00,30,27.9,169.0,1002.0,30.0
WP21,13,2026-08-28 18:00:00,30,31.0,165.1,1001.0,24.0
AL04,13,2026-08-28 18:00:00,36,17.7,-62.1,1012.0,25.0
EP11,13,2026-08-28 18:00:00,36,16.8,-119.9,992.0,37.0
EP12,13,2026-08-28 18:00:00,36,12.3,-137.5,1008.0,21.0
WP20,13,2026-08-28 18:00:00,36,30.2,169.1,1001.0,31.0
WP21,13,2026-08-28 18:00:00,36,31.0,165.2,1000.0,22.0
AL04,13,2026-08-28 18:00:00,42,17.8,-64.1,1013.0,22.0
EP11,13,2026-08-28 18:00:00,42,16.9,-120.7,987.0,36.0
EP12,13,2026-08-28 18:00:00,42,12.3,-138.4,1005.0,21.0
WP20,13,2026-08-28 18:00:00,42,32.5,168.2,1002.0,31.0
WP21,13,2026-08-28 18:00:00,42,31.1,166.1,1002.0,27.0
AL04,13,2026-08-28 18:00:00,48,17.8,-65.7,1012.0,22.0
EP11,13,2026-08-28 18:00:00,48,17.1,-121.4,990.0,35.0
EP12,13,2026-08-28 18:00:00,48,12.4,-139.4,1008.0,19.0
WP20,13,2026-08-28 18:00:00,48,34.0,167.0,1002.0,29.0
WP21,13,2026-08-28 18:00:00,48,31.4,166.8,1002.0,25.0
EP11,13,2026-08-28 18:00:00,54,17.4,-122.1,987.0,34.0
EP12,13,2026-08-28 18:00:00,54,12.5,-140.2,1005.0,18.0
WP20,13,2026-08-28 18:00:00,54,35.2,166.6,1004.0,28.0
WP21,13,2026-08-28 18:00:00,54,31.9,167.6,1005.0,25.0
EP11,13,2026-08-28 18:00:00,60,17.5,-122.6,989.0,34.0
EP12,13,2026-08-28 18:00:00,60,12.6,-141.1,1008.0,19.0
WP20,13,2026-08-28 18:00:00,60,36.6,166.8,1004.0,27.0
WP21,13,2026-08-28 18:00:00,60,34.2,167.2,1004.0,26.0
EP11,13,2026-08-28 18:00:00,66,17.7,-123.2,988.0,33.0
EP12,13,2026-08-28 18:00:00,66,12.8,-142.1,1006.0,20.0
WP20,13,2026-08-28 18:00:00,66,38.2,167.4,1005.0,28.0
WP21,13,2026-08-28 18:00:00,66,38.0,167.1,1005.0,28.0
EP11,13,2026-08-28 18:00:00,72,17.8,-123.7,991.0,33.0
EP12,13,2026-08-28 18:00:00,72,12.9,-143.1,1008.0,20.0
WP20,13,2026-08-28 18:00:00,72,41.2,168.8,1004.0,29.0
WP21,13,2026-08-28 18:00:00,72,41.5,168.5,1004.0,29.0
EP11,13,2026-08-28 18:00:00,78,18.1,-124.3,988.0,34.0
EP12,13,2026-08-28 18:00:00,78,13.0,-144.0,1006.0,20.0
WP20,13,2026-08-28 18:00:00,78,43.0,169.9,1004.0,30.0
WP21,13,2026-08-28 18:00:00,78,42.7,170.1,1004.0,30.0
EP11,13,2026-08-28 18:00:00,84,18.3,-124.9,991.0,33.0
EP12,13,2026-08-28 18:00:00,84,13.2,-144.9,1008.0,22.0
WP20,13,2026-08-28 18:00:00,84,44.5,171.3,1003.0,28.0
WP21,13,2026-08-28 18:00:00,84,44.0,171.7,1003.0,28.0
EP11,13,2026-08-28 18:00:00,90,18.6,-125.6,989.0,33.0
EP12,13,2026-08-28 18:00:00,90,13.2,-146.0,1006.0,23.0
WP20,13,2026-08-28 18:00:00,90,45.7,173.0,1002.0,30.0
WP21,13,2026-08-28 18:00:00,90,44.9,173.0,1002.0,30.0
EP11,13,2026-08-28 18:00:00,96,19.0,-126.2,993.0,33.0
EP12,13,2026-08-28 18:00:00,96,13.3,-147.1,1008.0,22.0
WP20,13,2026-08-28 18:00:00,96,48.0,174.6,999.0,29.0
WP21,13,2026-08-28 18:00:00,96,47.6,174.9,999.0,30.0
EP11,13,2026-08-28 18:00:00,102,19.5,-126.8,989.0,33.0
EP12,13,2026-08-28 18:00:00,102,13.3,-148.0,1006.0,23.0
EP11,13,2026-08-28 18:00:00,108,20.0,-127.3,992.0,34.0
EP12,13,2026-08-28 18:00:00,108,13.3,-148.9,1007.0,23.0
EP11,13,2026-08-28 18:00:00,114,20.7,-127.9,990.0,34.0
EP12,13,2026-08-28 18:00:00,114,13.2,-149.9,1006.0,23.0
EP11,13,2026-08-28 18:00:00,120,21.5,-128.3,994.0,34.0
EP12,13,2026-08-28 18:00:00,120,13.2,-150.9,1007.0,23.0
EP11,13,2026-08-28 18:00:00,126,22.5,-128.7,993.0,33.0
EP12,13,2026-08-28 18:00:00,126,13.4,-151.6,1006.0,23.0
EP11,13,2026-08-28 18:00:00,132,23.5,-128.9,996.0,35.0
EP12,13,2026-08-28 18:00:00,132,13.5,-152.4,1007.0,23.0
EP11,13,2026-08-28 18:00:00,138,24.8,-129.2,995.0,34.0
EP12,13,2026-08-28 18:00:00,138,13.6,-153.1,1006.0,24.0
EP11,13,2026-08-28 18:00:00,144,26.3,-129.3,998.0,32.0
EP12,13,2026-08-28 18:00:00,144,13.7,-153.8,1007.0,24.0
EP11,13,2026-08-28 18:00:00,150,27.6,-129.3,997.0,29.0
EP12,13,2026-08-28 18:00:00,150,13.7,-154.3,1005.0,23.0
EP11,13,2026-08-28 18:00:00,156,28.7,-128.9,1000.0,27.0
EP12,13,2026-08-28 18:00:00,156,13.7,-154.7,1006.0,24.0
EP11,13,2026-08-28 18:00:00,162,30.0,-128.3,1001.0,26.0
EP12,13,2026-08-28 18:00:00,162,13.7,-155.1,1005.0,24.0
EP11,13,2026-08-28 18:00:00,168,31.5,-127.1,1004.0,24.0
EP12,13,2026-08-28 18:00:00,168,13.8,-155.5,1005.0,24.0
EP11,13,2026-08-28 18:00:00,174,33.2,-125.5,1006.0,21.0
EP12,13,2026-08-28 18:00:00,174,13.8,-155.8,1004.0,24.0
EP11,13,2026-08-28 18:00:00,180,35.2,-123.7,1010.0,17.0
EP12,13,2026-08-28 18:00:00,180,13.9,-156.1,1004.0,25.0
EP11,13,2026-08-28 18:00:00,186,38.3,-122.7,1012.0,15.0
EP12,13,2026-08-28 18:00:00,186,14.0,-156.5,1004.0,25.0
